name,salary
Meadowbrook Rehabilitation,{}
Intermountain,"{""Mental Health Technician"":""$13.16 per hour"",""Therapist"":""$40,749 per year"",""Outpatient Therapist"":""$42,659 per year""}"
Sitel,"{""Customer Service Representative"":""$14.48 per hour"",""Call Center Representative"":""$11.44 per hour"",""Agent"":""$11.72 per hour""}"
Reverse Mortgage Funding,{}
Smith & Nephew,"{""Packager"":""$30,006 per year"",""Finisher"":""$29,326 per year"",""Senior Machinist"":""$53,031 per year""}"
VeriFone,"{""Customer Service Representative"":""$29.97 per hour"",""Senior Software Engineer"":""$117,979 per year"",""Technical Project Manager"":""$70,874 per year""}"
VBM Auto Group,"{""Sales Consultant"":""$6,028 per month"",""Service Porter"":""$12.10 per hour"",""Car Sales Executive"":""$3,150 per month""}"
Airwolf 3D,"{""Inside Sales Representative"":""$48,000 per year"",""Technical Support"":""$15.00 per hour"",""Shipping Coordinator"":""$19.06 per hour""}"
American National Insurance Company,"{""Insurance Agent"":""$48,284 per year"",""Agent"":""$44,421 per year"",""Customer Service Representative"":""$29,352 per year""}"
Georgia Tech,"{""Graduate Researcher"":""$26,598 per year"",""Research Scientist"":""$57,573 per year"",""Custodian"":""$11.86 per hour""}"
Oak Pointe Country Club,{}
Victory Mortgage,{}
The Shandy Clinic,"{""Physical Therapist"":""$70,711 per year"",""Board Certified Behavior Analyst"":""$66,960 per year"",""Speech Language Pathologist"":""$66,185 per year""}"
Blue Ridge Behavioral Healthcare,"{""Case Manager"":""$15.43 per hour"",""Mental Health Technician"":""$13.46 per hour"",""Recovery Coach"":""$10.50 per hour""}"
CHG Healthcare,"{""Recruiter"":""$42,732 per year"",""Physician Recruiter"":""$45,818 per year"",""Sales Representative"":""$27.00 per hour""}"
Novozymes,{}
WOW Logistics,"{""Warehouse Worker"":""$16.12 per hour"",""Operations Coordinator"":""$16.92 per hour"",""Forklift Operator"":""$15.44 per hour""}"
Meridian Nurse Recruiters,"{""Licensed Practical Nurse"":""$31.33 per hour"",""Registered Nurse"":""$38.66 per hour"",""Promoter"":""$30.97 per hour""}"
Georgetown University,"{""Program Coordinator"":""$48,016 per year"",""Research Assistant"":""$36,647 per year"",""Post-doctoral Fellow"":""$52,902 per year""}"
,{}
,"{""Graduate Assistant"":""$17,717 per year"",""Student Assistant"":""$13.10 per hour"",""Laboratory Technician"":""$12.10 per hour""}"
Cheyenne Regional Medical Center,"{""Nursing Assistant"":""$16.12 per hour"",""Patient Access Manager"":""$26,634 per year"",""Registered Nurse"":""$57,974 per year""}"
"Wynn-Reeth, Inc.","{""Home Manager"":""$11.00 per hour"",""Direct Support Professional"":""$10.31 per hour"",""Monitoring Specialist"":""$10.20 per hour""}"
Legacy Partners,"{""Leasing Consultant"":""$16.22 per hour"",""Maintenance Supervisor"":""$27.05 per hour"",""Service Technician"":""$20.29 per hour""}"
Endeavor Energy Resources,{}
Contemporary Services Corporation,"{""Event Staff"":""$10.71 per hour"",""Security Officer"":""$10.80 per hour"",""Security Guard"":""$12.02 per hour""}"
Center for Social Dynamics,"{""Behavioral Specialist"":""$19.20 per hour"",""Coach"":""$19.25 per hour"",""Program Supervisor"":""$65,589 per year""}"
898 Marketing,{}
Genesis Attachments,{}
RNR Tire Express,"{""Account Manager"":""$13.38 per hour"",""Customer Service Representative"":""$11.68 per hour"",""Store Manager"":""$66,818 per year""}"
Security National Bank,{}
,"{""Nursing Assistant"":""$13.86 per hour"",""Server"":""$9.42 per hour"",""Culinary"":""$10.59 per hour""}"
ClearOne Advantage,"{""Account Executive"":""$51,655 per year"",""Inside Sales Representative"":""$40,292 per year"",""Business Analyst"":""$66,617 per year""}"
Benchmark Hospitality,"{""Housekeeper"":""$12.57 per hour"",""Attendant"":""$11.90 per hour"",""Server"":""$12.44 per hour""}"
Corona Regional Medical Center,"{""Registered Nurse"":""$52.91 per hour"",""Prep Cook"":""$13.50 per hour""}"
Support.com,"{""Service Technician"":""$10.49 per hour"",""Desktop Support Technician"":""$9.77 per hour"",""Customer Service Technician"":""$11.77 per hour""}"
Aspire Indiana,"{""Therapist"":""$45,465 per year"",""Case Manager"":""$30,409 per year"",""Life Skills Trainer"":""$14.70 per hour""}"
Cardinal Staffing Services,"{""Human Resources Specialist"":""$34,789 per year"",""Laborer"":""$12.03 per hour"",""Assembler"":""$12.56 per hour""}"
Blackhawk Transport,{}
Express Employment Professionals,"{""Laborer"":""$13.13 per hour"",""Warehouse Worker"":""$13.56 per hour"",""Customer Service Representative"":""$14.43 per hour""}"
Wireless Zone - Verizon Wireless Premium Retailer,"{""Sales Representative"":""$16.46 per hour"",""Sales Associate"":""$55,081 per year"",""Customer Service Representative"":""$12.92 per hour""}"
TheraCare,"{""Service Coordinator"":""$36,812 per year"",""ABA Therapist"":""$52.13 per hour"",""Occupational Therapist"":""$69.09 per hour""}"
Penn State Hershey Rehabilitation Hospital,{}
YMCA,"{""Camp Counselor"":""$9.91 per hour"",""Lifeguard"":""$10.02 per hour"",""Childcare Provider"":""$9.09 per hour""}"
Carter Lumber,"{""Yard Worker"":""$8.14 per hour"",""Yard Specialist"":""$11.04 per hour"",""Delivery Driver"":""$14.57 per hour""}"
"Tradehome Shoe Stores, Inc.","{""Assistant Manager"":""$28,692 per year"",""Sales Associate"":""$11.18 per hour"",""Manager"":""$26,748 per year""}"
RKL,{}
Mendocino Forest Products,{}
FastMed Urgent Care,"{""Medical Assistant"":""$15.01 per hour"",""Clinical Assistant"":""$13.30 per hour"",""Guest Service Agent"":""$12.88 per hour""}"
Jim Shorkey Family Auto Group,"{""Customer Service Representative"":""$71,151 per year"",""Car Sales Executive"":""$71,151 per year"",""Customer Service/Sales Representative"":""$71,151 per year""}"
"Carters, Inc","{""Sales Associate"":""$10.53 per hour"",""Supervisor"":""$11.58 per hour"",""Assistant Store Manager"":""$16.64 per hour""}"
A&W Healthcare Management,"{""Appointment Generator"":""$1,423 per week"",""Office Assistant"":""$11.70 per hour"",""Administrative Assistant"":""$13.08 per hour""}"
Success Academy Charter Schools,"{""Lead Teacher"":""$61,088 per year"",""Teacher"":""$70,343 per year"",""Business Operations Manager"":""$72,957 per year""}"
Moravian Manor Communities,"{""Nursing Assistant"":""$15.41 per hour"",""Charge Nurse"":""$25.87 per hour"",""Licensed Practical Nurse"":""$21.94 per hour""}"
HARVEST MEAT COMPANY,{}
Soccer Shots,"{""Soccer Coach"":""$20.88 per hour"",""Coach"":""$19.98 per hour"",""Director"":""$34,318 per year""}"
Cook County School District 130,"{""Special Education Teacher"":""$42,473 per year"",""Elementary School Teacher"":""$41,715 per year"",""Teacher"":""$40,987 per year""}"
Fast Water Heater Company,"{""Inside Sales Representative"":""$41,659 per year"",""Plumbing Technician"":""$59,184 per year""}"
Smith & Noble,"{""Designer"":""$58,438 per year"",""Quality Assurance Analyst"":""$12.94 per hour"",""Digital Designer"":""$50,000 per year""}"
Sonora Regional Medical Center,{}
Consolidated Precision Products,"{""Assembler"":""$12.39 per hour"",""Safety Manager"":""$90,000 per year"",""Molder"":""$11.25 per hour""}"
Smith Arnold Partners,"{""Recruiter"":""$35,110 per year"",""Psychiatric Nurse"":""$133,272 per year"",""Psychiatric-mental Health Nurse Practitioner"":""$137,380 per year""}"
Kids Adventures,{}
Reasons Eating Disorder Center,{}
Altisource,"{""Manager"":""$89,476 per year"",""Document Specialist"":""$30,892 per year"",""Real Estate Associate"":""$68,434 per year""}"
Vitality Bowls,"{""Team Member"":""$12.19 per hour"",""Shift Leader"":""$14.29 per hour"",""Shift Manager"":""$12.04 per hour""}"
Winona Foods,{}
"Baltimore Medical System, Inc.","{""Medical Assistant"":""$17.93 per hour"",""Registered Nurse"":""$71,622 per year"",""Benefits Advisor"":""$15.86 per hour""}"
George Mason University,"{""Graduate Assistant"":""$17,897 per year"",""Graduate Researcher"":""$21,894 per year"",""Assistant Professor"":""$83,009 per year""}"
LockNet,{}
Regions Bank,"{""Teller"":""$12.26 per hour"",""Financial Specialist"":""$31,360 per year"",""Financial Consultant"":""$42,559 per year""}"
First Community Credit Union,{}
Regency SouthernCare Hospice,{}
OS inc,"{""Accounts Receivable Clerk"":""$36,099 per year"",""Inside Sales Representative"":""$50,000 per year""}"
JBCStyle,"{""Store Manager"":""$53,971 per year"",""Sales Associate"":""$13.82 per hour"",""Assistant Store Manager"":""$17.07 per hour""}"
Pocono Springs Camp,{}
Zenith Global Logistics,"{""Truck Driver"":""$65,702 per year"",""Delivery Driver"":""$14.43 per hour"",""Billing Clerk"":""$10.91 per hour""}"
Bridgewater Interiors,"{""Production Worker"":""$38,438 per year"",""Assembler"":""$13.77 per hour"",""Materials Supervisor"":""$51,294 per year""}"
Bay Clinic,"{""Department Supervisor"":""$49,029 per year"",""Medical Assistant"":""$12.83 per hour""}"
Adams Publishing Group LLC,"{""Customer Service Representative"":""$12.97 per hour"",""Press Operator"":""$15.40 per hour"",""Reporter"":""$30,661 per year""}"
BUTLER COUNTY EDUCATIONAL SERVICE CENTER,"{""Community Liaison"":""$34,399 per year"",""Social Worker"":""$16.91 per hour"",""Assistant Teacher"":""$13.63 per hour""}"
Willow Springs Recovery,{}
Black Angus Steakhouse,"{""Server"":""$388 per week"",""Host/Hostess"":""$10.24 per hour"",""Bartender"":""$9.75 per hour""}"
Wakefern Food Corporation,"{""Cashier"":""$10.88 per hour"",""Deli Associate"":""$12.90 per hour"",""Customer Service Representative"":""$10.98 per hour""}"
Northfield Trucking Company Inc.,"{""Owner Operator Driver"":""$4,070 per week"",""Truck Driver"":""$65,948 per year"",""Local Driver"":""$62,351 per year""}"
The Paper Store,"{""Sales Associate"":""$12.72 per hour"",""Retail Assistant Manager"":""$13.72 per hour"",""Visual Manager"":""$15.76 per hour""}"
Centennial High School,{}
